v1	V(v_out)
Step Information: Run=1  (Run: 1/500)
8.000000000000002e-001	2.997202e-001
8.500000000000002e-001	3.184527e-001
9.000000000000002e-001	3.371852e-001
9.500000000000003e-001	3.559177e-001
1.000000000000000e+000	3.746502e-001
Step Information: Run=26  (Run: 26/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875033e-002
1.000000000000000e-001	3.750065e-002
1.500000000000000e-001	5.625098e-002
2.000000000000000e-001	7.500131e-002
2.500000000000000e-001	9.375164e-002
3.000000000000000e-001	1.125020e-001
3.500000000000000e-001	1.312523e-001
4.000000000000000e-001	1.500026e-001
4.500000000000000e-001	1.687529e-001
4.999999999999999e-001	1.875033e-001
5.499999999999999e-001	2.062536e-001
6.000000000000000e-001	2.250039e-001
6.500000000000000e-001	2.437543e-001
7.000000000000001e-001	2.625046e-001
7.500000000000001e-001	2.812549e-001
8.000000000000002e-001	3.000052e-001
8.500000000000002e-001	3.187556e-001
9.000000000000002e-001	3.375059e-001
9.500000000000003e-001	3.562562e-001
1.000000000000000e+000	3.750066e-001
Step Information: Run=27  (Run: 27/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.878403e-002
1.000000000000000e-001	3.756806e-002
1.500000000000000e-001	5.635210e-002
2.000000000000000e-001	7.513613e-002
2.500000000000000e-001	9.392016e-002
3.000000000000000e-001	1.127042e-001
3.500000000000000e-001	1.314882e-001
4.000000000000000e-001	1.502723e-001
4.500000000000000e-001	1.690563e-001
4.999999999999999e-001	1.878403e-001
5.499999999999999e-001	2.066244e-001
6.000000000000000e-001	2.254084e-001
6.500000000000000e-001	2.441924e-001
7.000000000000001e-001	2.629764e-001
7.500000000000001e-001	2.817605e-001
8.000000000000002e-001	3.005445e-001
8.500000000000002e-001	3.193285e-001
9.000000000000002e-001	3.381126e-001
9.500000000000003e-001	3.568966e-001
1.000000000000000e+000	3.756806e-001
Step Information: Run=28  (Run: 28/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874251e-002
1.000000000000000e-001	3.748502e-002
1.500000000000000e-001	5.622754e-002
2.000000000000000e-001	7.497004e-002
2.500000000000000e-001	9.371256e-002
3.000000000000000e-001	1.124551e-001
3.500000000000000e-001	1.311976e-001
4.000000000000000e-001	1.499401e-001
4.500000000000000e-001	1.686826e-001
4.999999999999999e-001	1.874251e-001
5.499999999999999e-001	2.061676e-001
6.000000000000000e-001	2.249101e-001
6.500000000000000e-001	2.436527e-001
7.000000000000001e-001	2.623952e-001
7.500000000000001e-001	2.811377e-001
8.000000000000002e-001	2.998802e-001
8.500000000000002e-001	3.186227e-001
9.000000000000002e-001	3.373652e-001
9.500000000000003e-001	3.561077e-001
1.000000000000000e+000	3.748502e-001
Step Information: Run=29  (Run: 29/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.876175e-002
1.000000000000000e-001	3.752350e-002
1.500000000000000e-001	5.628525e-002
2.000000000000000e-001	7.504699e-002
2.500000000000000e-001	9.380874e-002
3.000000000000000e-001	1.125705e-001
3.500000000000000e-001	1.313322e-001
4.000000000000000e-001	1.500940e-001
4.500000000000000e-001	1.688557e-001
4.999999999999999e-001	1.876175e-001
5.499999999999999e-001	2.063792e-001
6.000000000000000e-001	2.251410e-001
6.500000000000000e-001	2.439027e-001
7.000000000000001e-001	2.626645e-001
7.500000000000001e-001	2.814262e-001
8.000000000000002e-001	3.001880e-001
8.500000000000002e-001	3.189497e-001
9.000000000000002e-001	3.377115e-001
9.500000000000003e-001	3.564732e-001
1.000000000000000e+000	3.752350e-001
Step Information: Run=30  (Run: 30/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874050e-002
1.000000000000000e-001	3.748100e-002
1.500000000000000e-001	5.622150e-002
2.000000000000000e-001	7.496201e-002
2.500000000000000e-001	9.370251e-002
3.000000000000000e-001	1.124430e-001
3.500000000000000e-001	1.311835e-001
4.000000000000000e-001	1.499240e-001
4.500000000000000e-001	1.686645e-001
4.999999999999999e-001	1.874050e-001
5.499999999999999e-001	2.061455e-001
6.000000000000000e-001	2.248860e-001
6.500000000000000e-001	2.436265e-001
7.000000000000001e-001	2.623670e-001
7.500000000000001e-001	2.811075e-001
8.000000000000002e-001	2.998480e-001
8.500000000000002e-001	3.185885e-001
9.000000000000002e-001	3.373290e-001
9.500000000000003e-001	3.560695e-001
1.000000000000000e+000	3.748100e-001
Step Information: Run=31  (Run: 31/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875644e-002
1.000000000000000e-001	3.751288e-002
1.500000000000000e-001	5.626933e-002
2.000000000000000e-001	7.502577e-002
2.500000000000000e-001	9.378221e-002
3.000000000000000e-001	1.125387e-001
3.500000000000000e-001	1.312951e-001
4.000000000000000e-001	1.500515e-001
4.500000000000000e-001	1.688080e-001
4.999999999999999e-001	1.875644e-001
5.499999999999999e-001	2.063209e-001
6.000000000000000e-001	2.250773e-001
6.500000000000000e-001	2.438338e-001
7.000000000000001e-001	2.625902e-001
7.500000000000001e-001	2.813466e-001
8.000000000000002e-001	3.001031e-001
8.500000000000002e-001	3.188595e-001
9.000000000000002e-001	3.376160e-001
9.500000000000003e-001	3.563724e-001
1.000000000000000e+000	3.751288e-001
Step Information: Run=32  (Run: 32/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874831e-002
1.000000000000000e-001	3.749661e-002
1.500000000000000e-001	5.624492e-002
2.000000000000000e-001	7.499322e-002
2.500000000000000e-001	9.374153e-002
3.000000000000000e-001	1.124898e-001
3.500000000000000e-001	1.312381e-001
4.000000000000000e-001	1.499864e-001
4.500000000000000e-001	1.687348e-001
4.999999999999999e-001	1.874831e-001
5.499999999999999e-001	2.062314e-001
6.000000000000000e-001	2.249797e-001
6.500000000000000e-001	2.437280e-001
7.000000000000001e-001	2.624763e-001
7.500000000000001e-001	2.812246e-001
8.000000000000002e-001	2.999729e-001
8.500000000000002e-001	3.187212e-001
9.000000000000002e-001	3.374695e-001
9.500000000000003e-001	3.562178e-001
1.000000000000000e+000	3.749661e-001
Step Information: Run=33  (Run: 33/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874539e-002
1.000000000000000e-001	3.749078e-002
1.500000000000000e-001	5.623617e-002
2.000000000000000e-001	7.498156e-002
2.500000000000000e-001	9.372694e-002
3.000000000000000e-001	1.124723e-001
3.500000000000000e-001	1.312177e-001
4.000000000000000e-001	1.499631e-001
4.500000000000000e-001	1.687085e-001
4.999999999999999e-001	1.874539e-001
5.499999999999999e-001	2.061993e-001
6.000000000000000e-001	2.249447e-001
6.500000000000000e-001	2.436901e-001
7.000000000000001e-001	2.624354e-001
7.500000000000001e-001	2.811808e-001
8.000000000000002e-001	2.999262e-001
8.500000000000002e-001	3.186716e-001
9.000000000000002e-001	3.374170e-001
9.500000000000003e-001	3.561624e-001
1.000000000000000e+000	3.749078e-001
Step Information: Run=34  (Run: 34/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.877121e-002
