v1	I(V2)	I(V3)	I(V4)	I(V5)
Step Information: Run=1  (Run: 1/500)
3.330000000000000e-001	3.329528e-005	1.661632e-005	8.330891e-006	4.176692e-006
6.660000000000000e-001	6.659056e-005	3.323265e-005	1.666178e-005	8.353384e-006
9.990000000000001e-001	9.988584e-005	4.984897e-005	2.499267e-005	1.253008e-005
1.000000000000000e+000	9.998582e-005	4.989887e-005	2.501769e-005	1.254262e-005
Step Information: Run=36  (Run: 36/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.328011e-005	1.668412e-005	8.356398e-006	4.157389e-006
6.660000000000000e-001	6.656021e-005	3.336825e-005	1.671280e-005	8.314777e-006
9.990000000000001e-001	9.984032e-005	5.005237e-005	2.506920e-005	1.247217e-005
1.000000000000000e+000	9.994026e-005	5.010247e-005	2.509429e-005	1.248465e-005
Step Information: Run=37  (Run: 37/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.334297e-005	1.664111e-005	8.331220e-006	4.157567e-006
6.660000000000000e-001	6.668593e-005	3.328223e-005	1.666244e-005	8.315134e-006
9.990000000000001e-001	1.000289e-004	4.992334e-005	2.499366e-005	1.247270e-005
1.000000000000000e+000	1.001290e-004	4.997331e-005	2.501868e-005	1.248519e-005
Step Information: Run=38  (Run: 38/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.331407e-005	1.665587e-005	8.334756e-006	4.161251e-006
6.660000000000000e-001	6.662815e-005	3.331173e-005	1.666951e-005	8.322501e-006
9.990000000000001e-001	9.994222e-005	4.996760e-005	2.500427e-005	1.248375e-005
1.000000000000000e+000	1.000423e-004	5.001762e-005	2.502930e-005	1.249625e-005
Step Information: Run=39  (Run: 39/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.329311e-005	1.666066e-005	8.306035e-006	4.175270e-006
6.660000000000000e-001	6.658622e-005	3.332131e-005	1.661207e-005	8.350539e-006
9.990000000000001e-001	9.987933e-005	4.998197e-005	2.491810e-005	1.252581e-005
1.000000000000000e+000	9.997931e-005	5.003200e-005	2.494305e-005	1.253835e-005
Step Information: Run=40  (Run: 40/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.337095e-005	1.663927e-005	8.321378e-006	4.169459e-006
6.660000000000000e-001	6.674190e-005	3.327853e-005	1.664276e-005	8.338918e-006
9.990000000000001e-001	1.001129e-004	4.991780e-005	2.496413e-005	1.250838e-005
1.000000000000000e+000	1.002131e-004	4.996777e-005	2.498912e-005	1.252090e-005
Step Information: Run=41  (Run: 41/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.337336e-005	1.666580e-005	8.330914e-006	4.169584e-006
6.660000000000000e-001	6.674672e-005	3.333161e-005	1.666183e-005	8.339168e-006
9.990000000000001e-001	1.001201e-004	4.999741e-005	2.499274e-005	1.250875e-005
1.000000000000000e+000	1.002203e-004	5.004746e-005	2.501776e-005	1.252127e-005
Step Information: Run=42  (Run: 42/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
